Metadata_Perturbation,Cell_Time,Metadata_broad_sample,mAP,adjusted_mAP
compound,A549_long,BRD-A00827783-001-24-6,0.2790796421774683,-0.031194250596424236
compound,A549_long,BRD-A01078468-001-14-8,0.7236111111111111,0.4133372183372186
compound,A549_long,BRD-A07207424-001-14-0,0.39325396825396824,0.08298007548007577
compound,A549_long,BRD-A08187463-001-12-9,0.7291666666666666,0.41889277389277413
compound,A549_long,BRD-A09722536-002-18-0,0.5916666666666667,0.2813927738927742
compound,A549_long,BRD-A10188456-001-04-9,1.0,0.6897261072261075
compound,A549_long,BRD-A10739734-003-09-8,0.20626112681780326,-0.10401276595608924
compound,A549_long,BRD-A15397381-001-02-5,0.2587276373566696,-0.05154625541722289
compound,A549_long,BRD-A18763547-300-06-3,1.0,0.6897261072261075
compound,A549_long,BRD-A18992208-003-02-7,0.9375,0.6272261072261075
compound,A549_long,BRD-A20697603-001-07-2,1.0,0.6897261072261075
compound,A549_long,BRD-A22032524-074-09-9,1.0,0.6897261072261075
compound,A549_long,BRD-A22713669-001-04-3,0.8625,0.5522261072261074
compound,A549_long,BRD-A23124853-001-01-4,1.0,0.6897261072261075
compound,A549_long,BRD-A24122750-001-03-7,0.2784075877825878,-0.031866304991304724
compound,A549_long,BRD-A25569250-001-03-3,1.0,0.6897261072261075
compound,A549_long,BRD-A30815329-001-12-1,0.8829365079365079,0.5726626151626154
compound,A549_long,BRD-A31564021-001-02-6,0.48343704906204904,0.17316315628815654
compound,A549_long,BRD-A36217750-001-16-3,0.45902777777777776,0.14875388500388526
compound,A549_long,BRD-A37704979-001-12-3,1.0,0.6897261072261075
compound,A549_long,BRD-A43005764-003-01-5,1.0,0.6897261072261075
compound,A549_long,BRD-A48180038-003-24-3,0.68125,0.37097610722610747
compound,A549_long,BRD-A51831848-001-01-7,0.4398809523809524,0.1296070596070599
compound,A549_long,BRD-A54139254-001-09-2,0.7194444444444444,0.40917055167055194
compound,A549_long,BRD-A58048407-001-20-4,0.5415422440906187,0.23126835131672618
compound,A549_long,BRD-A63310107-001-04-8,0.9305555555555556,0.6202816627816631
compound,A549_long,BRD-A63444178-001-01-5,0.4458037060978237,0.13552981332393124
compound,A549_long,BRD-A64173453-015-03-1,0.21152093987072057,-0.09875295290317193
compound,A549_long,BRD-A65597028-003-08-1,0.8898809523809523,0.5796070596070598
compound,A549_long,BRD-A69636825-003-04-7,1.0,0.6897261072261075
compound,A549_long,BRD-A69651145-003-11-4,0.4108095364674312,0.1005356436935387
compound,A549_long,BRD-A72351335-001-04-5,1.0,0.6897261072261075
compound,A549_long,BRD-A72483914-001-03-7,0.31251097935880545,0.0022370865849129437
compound,A549_long,BRD-A72767275-003-01-6,0.4996031746031746,0.1893292818292821
compound,A549_long,BRD-A74391928-051-03-9,1.0,0.6897261072261075
compound,A549_long,BRD-A82396632-008-30-8,0.7936507936507936,0.4833769008769011
compound,A549_long,BRD-A83029242-001-06-1,0.5097222222222222,0.1994483294483297
compound,A549_long,BRD-A84687895-001-03-2,0.8277777777777777,0.5175038850038853
compound,A549_long,BRD-A85242401-001-11-5,0.5176587301587301,0.20738483738483765
compound,A549_long,BRD-A86665761-001-01-1,0.9180555555555555,0.607781662781663
compound,A549_long,BRD-A89164055-001-03-3,0.5497863247863248,0.23951243201243227
compound,A549_long,BRD-A91008255-003-24-8,1.0,0.6897261072261075
compound,A549_long,BRD-A91822151-001-05-0,0.638095238095238,0.3278213453213456
compound,A549_long,BRD-A93477898-001-04-2,0.5027777777777778,0.19250388500388527
compound,A549_long,BRD-A99888680-001-05-3,0.5095368629908104,0.19926297021691786
compound,A549_long,BRD-K00259736-001-16-4,1.0,0.6897261072261075
compound,A549_long,BRD-K01666412-001-02-0,0.3966833955804544,0.08640950280656189
compound,A549_long,BRD-K01824976-300-02-9,1.0,0.6897261072261075
compound,A549_long,BRD-K01825589-310-02-9,0.25421715847052445,-0.056056734303368064
compound,A549_long,BRD-K01825660-322-01-9,0.332392814300709,0.022118921526816528
compound,A549_long,BRD-K01825690-065-01-9,0.8013888888888889,0.49111499611499637
compound,A549_long,BRD-K01826724-003-07-9,0.4558048433048433,0.14553095053095078
compound,A549_long,BRD-K02490038-236-03-8,0.2758616710087298,-0.03441222176516267
compound,A549_long,BRD-K02554563-001-01-6,0.9791666666666666,0.6688927738927741
compound,A549_long,BRD-K03109492-001-02-2,1.0,0.6897261072261075
compound,A549_long,BRD-K03155172-001-03-0,0.4519570707070707,0.1416831779331782
compound,A549_long,BRD-K03406345-001-21-1,1.0,0.7211727263998391
compound,A549_long,BRD-K03601870-001-01-2,1.0,0.6897261072261075
compound,A549_long,BRD-K04210847-001-21-9,0.9791666666666666,0.6688927738927741
compound,A549_long,BRD-K05531427-001-01-7,1.0,0.6897261072261075
compound,A549_long,BRD-K05878375-236-05-7,0.925,0.6147261072261074
compound,A549_long,BRD-K06426971-001-02-7,1.0,0.6897261072261075
compound,A549_long,BRD-K06674495-334-04-0,1.0,0.6897261072261075
compound,A549_long,BRD-K06890060-001-09-1,0.38659835534835535,0.07632446257446283
compound,A549_long,BRD-K07442505-001-03-6,0.75,0.4397261072261075
compound,A549_long,BRD-K07762753-001-05-1,1.0,0.6897261072261075
compound,A549_long,BRD-K07881437-001-03-8,1.0,0.7211727263998391
compound,A549_long,BRD-K08893438-001-06-4,0.4508775946275946,0.1406037018537021
compound,A549_long,BRD-K08953028-001-09-6,1.0,0.6897261072261075
compound,A549_long,BRD-K09143580-001-01-0,1.0,0.6897261072261075
compound,A549_long,BRD-K09295674-001-09-8,1.0,0.6897261072261075
compound,A549_long,BRD-K09338665-001-08-9,0.44613095238095235,0.13585705960705985
compound,A549_long,BRD-K09787262-001-02-7,0.5751225490196079,0.26484865624571535
compound,A549_long,BRD-K10670311-001-17-1,0.8625,0.5522261072261074
compound,A549_long,BRD-K10843433-001-23-5,0.7074494949494949,0.39717560217560244
compound,A549_long,BRD-K11558771-001-13-9,1.0,0.6897261072261075
compound,A549_long,BRD-K11796549-001-05-2,0.5791463507252981,0.2688724579514056
compound,A549_long,BRD-K12102668-001-25-5,0.452281746031746,0.14200785325785353
compound,A549_long,BRD-K12502280-001-11-4,1.0,0.6897261072261075
compound,A549_long,BRD-K13094524-001-04-2,1.0,0.6897261072261075
compound,A549_long,BRD-K13533483-001-16-2,1.0,0.6897261072261075
compound,A549_long,BRD-K14560436-001-01-4,1.0,0.6897261072261075
compound,A549_long,BRD-K14681867-001-01-6,0.7222222222222222,0.4119483294483297
compound,A549_long,BRD-K15179513-001-04-2,1.0,0.6897261072261075
compound,A549_long,BRD-K15502390-001-20-9,0.49722222222222223,0.1869483294483297
compound,A549_long,BRD-K15819326-001-01-6,1.0,0.6897261072261075
compound,A549_long,BRD-K16444452-001-09-1,0.7583333333333333,0.4480594405594408
compound,A549_long,BRD-K16472653-001-01-6,0.9791666666666666,0.6688927738927741
compound,A549_long,BRD-K16542329-001-16-8,0.8291666666666666,0.5188927738927742
compound,A549_long,BRD-K16730910-001-07-3,1.0,0.6897261072261075
