Metadata_Perturbation,Cell_Time,Metadata_broad_sample,mAP,adjusted_mAP
compound,A549_long,BRD-A00827783-001-24-6,0.2790796421774683,-0.01794139234356608
compound,A549_long,BRD-A01078468-001-14-8,0.7236111111111111,0.42659007659007675
compound,A549_long,BRD-A07207424-001-14-0,0.39325396825396824,0.09623293373293391
compound,A549_long,BRD-A08187463-001-12-9,0.7291666666666666,0.4321456321456323
compound,A549_long,BRD-A09722536-002-18-0,0.5916666666666667,0.29464563214563233
compound,A549_long,BRD-A10188456-001-04-9,1.0,0.7029789654789657
compound,A549_long,BRD-A10739734-003-09-8,0.2062611268178033,-0.09075990770323107
compound,A549_long,BRD-A15397381-001-02-5,0.2587276373566696,-0.03829339716436474
compound,A549_long,BRD-A18763547-300-06-3,1.0,0.7029789654789657
compound,A549_long,BRD-A18992208-003-02-7,0.9375,0.6404789654789655
compound,A549_long,BRD-A20697603-001-07-2,1.0,0.7029789654789657
compound,A549_long,BRD-A22032524-074-09-9,1.0,0.7029789654789657
compound,A549_long,BRD-A22713669-001-04-3,0.8625,0.5654789654789656
compound,A549_long,BRD-A23124853-001-01-4,1.0,0.7029789654789657
compound,A549_long,BRD-A24122750-001-03-7,0.2784075877825878,-0.018613446738446567
compound,A549_long,BRD-A25569250-001-03-3,1.0,0.7029789654789657
compound,A549_long,BRD-A30815329-001-12-1,0.8829365079365079,0.5859154734154736
compound,A549_long,BRD-A31564021-001-02-6,0.48343704906204904,0.1864160145410147
compound,A549_long,BRD-A36217750-001-16-3,0.45902777777777776,0.1620067432567434
compound,A549_long,BRD-A37704979-001-12-3,1.0,0.7029789654789657
compound,A549_long,BRD-A43005764-003-01-5,1.0,0.7029789654789657
compound,A549_long,BRD-A48180038-003-24-3,0.6812499999999999,0.38422896547896557
compound,A549_long,BRD-A51831848-001-01-7,0.4398809523809524,0.14285991785991803
compound,A549_long,BRD-A54139254-001-09-2,0.7194444444444444,0.4224234099234101
compound,A549_long,BRD-A58048407-001-20-4,0.5415422440906187,0.24452120956958437
compound,A549_long,BRD-A63310107-001-04-8,0.9305555555555556,0.6335345210345211
compound,A549_long,BRD-A63444178-001-01-5,0.4458037060978237,0.1487826715767894
compound,A549_long,BRD-A64173453-015-03-1,0.21152093987072057,-0.08550009465031377
compound,A549_long,BRD-A65597028-003-08-1,0.8898809523809523,0.5928599178599179
compound,A549_long,BRD-A69636825-003-04-7,1.0,0.7029789654789657
compound,A549_long,BRD-A69651145-003-11-4,0.4108095364674312,0.11378850194639684
compound,A549_long,BRD-A72351335-001-04-5,1.0,0.7029789654789657
compound,A549_long,BRD-A72483914-001-03-7,0.31251097935880545,0.015489944837771094
compound,A549_long,BRD-A72767275-003-01-6,0.4996031746031746,0.20258214008214026
compound,A549_long,BRD-A74391928-051-03-9,1.0,0.7029789654789657
compound,A549_long,BRD-A82396632-008-30-8,0.7936507936507936,0.49662975912975926
compound,A549_long,BRD-A83029242-001-06-1,0.5097222222222222,0.2127011877011879
compound,A549_long,BRD-A84687895-001-03-2,0.8277777777777777,0.5307567432567435
