Metadata_Perturbation,Cell_Time,Metadata_broad_sample,mAP,adjusted_mAP
compound,A549_long,BRD-A00827783-001-24-6,0.2790796421774683,-0.040455381977119745
compound,A549_long,BRD-A01078468-001-14-8,0.7236111111111111,0.4040760869565231
compound,A549_long,BRD-A07207424-001-14-0,0.39325396825396824,0.07371894409938025
compound,A549_long,BRD-A08187463-001-12-9,0.7291666666666666,0.4096316425120786
compound,A549_long,BRD-A09722536-002-18-0,0.5916666666666667,0.27213164251207866
compound,A549_long,BRD-A10188456-001-04-9,1.0,0.680464975845412
compound,A549_long,BRD-A10739734-003-09-8,0.2062611268178033,-0.11327389733678474
compound,A549_long,BRD-A15397381-001-02-5,0.2587276373566696,-0.0608073867979184
compound,A549_long,BRD-A18763547-300-06-3,1.0,0.680464975845412
compound,A549_long,BRD-A18992208-003-02-7,0.9375,0.617964975845412
compound,A549_long,BRD-A20697603-001-07-2,1.0,0.680464975845412
compound,A549_long,BRD-A22032524-074-09-9,1.0,0.680464975845412
compound,A549_long,BRD-A22713669-001-04-3,0.8625,0.542964975845412
compound,A549_long,BRD-A23124853-001-01-4,1.0,0.680464975845412
compound,A549_long,BRD-A24122750-001-03-7,0.2784075877825878,-0.04112743637200023
compound,A549_long,BRD-A25569250-001-03-3,1.0,0.680464975845412
compound,A549_long,BRD-A30815329-001-12-1,0.8829365079365079,0.5634014837819199
compound,A549_long,BRD-A31564021-001-02-6,0.48343704906204904,0.16390202490746103
compound,A549_long,BRD-A36217750-001-16-3,0.45902777777777776,0.13949275362318975
compound,A549_long,BRD-A37704979-001-12-3,1.0,0.680464975845412
compound,A549_long,BRD-A43005764-003-01-5,1.0,0.680464975845412
compound,A549_long,BRD-A48180038-003-24-3,0.6812499999999999,0.3617149758454119
compound,A549_long,BRD-A51831848-001-01-7,0.4398809523809524,0.12034592822636438
compound,A549_long,BRD-A54139254-001-09-2,0.7194444444444444,0.39990942028985643
compound,A549_long,BRD-A58048407-001-20-4,0.5415422440906187,0.2220072199360307
compound,A549_long,BRD-A63310107-001-04-8,0.9305555555555556,0.6110205314009676
compound,A549_long,BRD-A63444178-001-01-5,0.4458037060978237,0.12626868194323573
compound,A549_long,BRD-A64173453-015-03-1,0.21152093987072057,-0.10801408428386744
compound,A549_long,BRD-A65597028-003-08-1,0.8898809523809523,0.5703459282263643
compound,A549_long,BRD-A69636825-003-04-7,1.0,0.680464975845412
compound,A549_long,BRD-A69651145-003-11-4,0.4108095364674312,0.09127451231284317
compound,A549_long,BRD-A72351335-001-04-5,1.0,0.680464975845412
compound,A549_long,BRD-A72483914-001-03-7,0.31251097935880545,-0.007024044795782572
compound,A549_long,BRD-A72767275-003-01-6,0.4996031746031746,0.1800681504485866
compound,A549_long,BRD-A74391928-051-03-9,1.0,0.680464975845412
compound,A549_long,BRD-A82396632-008-30-8,0.7936507936507936,0.4741157694962056
compound,A549_long,BRD-A83029242-001-06-1,0.5097222222222222,0.19018719806763423
compound,A549_long,BRD-A84687895-001-03-2,0.8277777777777777,0.5082427536231897
compound,A549_long,BRD-A85242401-001-11-5,0.5176587301587301,0.19812370600414214
compound,A549_long,BRD-A86665761-001-01-1,0.9180555555555555,0.5985205314009675
compound,A549_long,BRD-A89164055-001-03-3,0.5497863247863247,0.23025130063173677
compound,A549_long,BRD-A91008255-003-24-8,1.0,0.680464975845412
compound,A549_long,BRD-A91822151-001-05-0,0.638095238095238,0.31856021394065004
compound,A549_long,BRD-A93477898-001-04-2,0.5027777777777778,0.1832427536231898
compound,A549_long,BRD-A99888680-001-05-3,0.5095368629908104,0.19000183883622235
compound,A549_long,BRD-K00259736-001-16-4,1.0,0.680464975845412
compound,A549_long,BRD-K01666412-001-02-0,0.3966833955804544,0.07714837142586638
compound,A549_long,BRD-K01824976-300-02-9,1.0,0.680464975845412
compound,A549_long,BRD-K01825589-310-02-9,0.25421715847052445,-0.06531786568406357
compound,A549_long,BRD-K01825660-322-01-9,0.332392814300709,0.012857790146121005
compound,A549_long,BRD-K01825690-065-01-9,0.8013888888888888,0.4818538647343008
compound,A549_long,BRD-K01826724-003-07-9,0.4558048433048433,0.13626981915025527
compound,A549_long,BRD-K02490038-236-03-8,0.2758616710087298,-0.04367335314585818
compound,A549_long,BRD-K02554563-001-01-6,0.9791666666666666,0.6596316425120786
compound,A549_long,BRD-K03109492-001-02-2,1.0,0.680464975845412
compound,A549_long,BRD-K03155172-001-03-0,0.4519570707070707,0.1324220465524827
compound,A549_long,BRD-K03406345-001-21-1,0.9999999999999998,0.7166198451319657
compound,A549_long,BRD-K03601870-001-01-2,1.0,0.680464975845412
compound,A549_long,BRD-K04210847-001-21-9,0.9791666666666666,0.6596316425120786
compound,A549_long,BRD-K05531427-001-01-7,1.0,0.680464975845412
compound,A549_long,BRD-K05878375-236-05-7,0.9249999999999999,0.6054649758454119
compound,A549_long,BRD-K06426971-001-02-7,1.0,0.680464975845412
compound,A549_long,BRD-K06674495-334-04-0,1.0,0.680464975845412
compound,A549_long,BRD-K06890060-001-09-1,0.38659835534835535,0.06706333119376733
compound,A549_long,BRD-K07442505-001-03-6,0.75,0.43046497584541193
compound,A549_long,BRD-K07762753-001-05-1,1.0,0.680464975845412
compound,A549_long,BRD-K07881437-001-03-8,0.9999999999999998,0.7166198451319657
compound,A549_long,BRD-K08893438-001-06-4,0.4508775946275946,0.1313425704730066
compound,A549_long,BRD-K08953028-001-09-6,1.0,0.680464975845412
compound,A549_long,BRD-K09143580-001-01-0,1.0,0.680464975845412
compound,A549_long,BRD-K09295674-001-09-8,1.0,0.680464975845412
compound,A549_long,BRD-K09338665-001-08-9,0.44613095238095235,0.12659592822636437
compound,A549_long,BRD-K09787262-001-02-7,0.5751225490196078,0.25558752486501984
compound,A549_long,BRD-K10670311-001-17-1,0.8624999999999999,0.5429649758454119
compound,A549_long,BRD-K10843433-001-23-5,0.7074494949494949,0.38791447079490693
compound,A549_long,BRD-K11558771-001-13-9,1.0,0.680464975845412
compound,A549_long,BRD-K11796549-001-05-2,0.5791463507252981,0.25961132657071007
compound,A549_long,BRD-K12102668-001-25-5,0.452281746031746,0.13274672187715802
compound,A549_long,BRD-K12502280-001-11-4,1.0,0.680464975845412
compound,A549_long,BRD-K13094524-001-04-2,1.0,0.680464975845412
compound,A549_long,BRD-K13533483-001-16-2,1.0,0.680464975845412
compound,A549_long,BRD-K14560436-001-01-4,1.0,0.680464975845412
compound,A549_long,BRD-K14681867-001-01-6,0.7222222222222222,0.4026871980676342
compound,A549_long,BRD-K15179513-001-04-2,1.0,0.680464975845412
compound,A549_long,BRD-K15502390-001-20-9,0.49722222222222223,0.17768719806763422
compound,A549_long,BRD-K15819326-001-01-6,1.0,0.680464975845412
compound,A549_long,BRD-K16444452-001-09-1,0.7583333333333333,0.4387983091787453
compound,A549_long,BRD-K16472653-001-01-6,0.9791666666666666,0.6596316425120786
compound,A549_long,BRD-K16542329-001-16-8,0.8291666666666666,0.5096316425120786
compound,A549_long,BRD-K16730910-001-07-3,1.0,0.680464975845412
compound,A549_long,BRD-K16761703-001-03-8,1.0,0.680464975845412
compound,A549_long,BRD-K16803204-001-01-6,1.0,0.680464975845412
compound,A549_long,BRD-K16810791-001-01-0,1.0,0.680464975845412
compound,A549_long,BRD-K17849083-001-32-9,0.8513888888888889,0.5318538647343009
compound,A549_long,BRD-K18131774-001-18-4,0.6659722222222222,0.34643719806763423
compound,A549_long,BRD-K18289362-001-02-2,0.4947089947089947,0.1751739705544067
compound,A549_long,BRD-K18895904-001-16-1,0.8079365079365078,0.48840148378191983
compound,A549_long,BRD-K19227686-001-18-6,0.280885925562699,-0.038649098591889
compound,A549_long,BRD-K19333160-001-01-3,1.0,0.680464975845412
compound,A549_long,BRD-K19477839-001-07-6,0.6238603988603988,0.30432537470581084
compound,A549_long,BRD-K19975102-001-01-2,1.0,0.680464975845412
compound,A549_long,BRD-K20093108-001-02-3,0.48815789473684207,0.16862287058225406
compound,A549_long,BRD-K20897876-001-11-8,0.21222508469791077,-0.10730993945667724
compound,A549_long,BRD-K20986415-001-02-6,1.0,0.680464975845412
compound,A549_long,BRD-K21528677-001-04-4,1.0,0.680464975845412
compound,A549_long,BRD-K21728777-001-02-3,1.0,0.680464975845412
compound,A549_long,BRD-K22134346-001-22-3,0.8611111111111112,0.5415760869565232
compound,A549_long,BRD-K22149900-001-06-2,1.0,0.680464975845412
compound,A549_long,BRD-K22482860-001-20-6,0.46111111111111114,0.14157608695652313
compound,A549_long,BRD-K23363278-001-02-1,0.9999999999999998,0.7166198451319657
compound,A549_long,BRD-K23913458-001-20-7,0.36299603174603173,0.04346100759144374
compound,A549_long,BRD-K24282351-001-01-4,0.5317550505050506,0.2122200263504625
compound,A549_long,BRD-K24283677-001-01-9,0.3479440698190698,0.028409045664481797
compound,A549_long,BRD-K24616672-003-20-1,0.6321428571428571,0.3126078329882691
compound,A549_long,BRD-K24696047-001-02-3,1.0,0.680464975845412
compound,A549_long,BRD-K25243230-001-01-2,0.26656370250120254,-0.05297132165338551
compound,A549_long,BRD-K25244359-066-02-6,1.0,0.680464975845412
compound,A549_long,BRD-K25311561-001-10-7,1.0,0.680464975845412
compound,A549_long,BRD-K25412176-001-01-9,0.9999999999999998,0.7166198451319657
compound,A549_long,BRD-K26439554-001-01-3,0.5426587301587301,0.22312370600414214
compound,A549_long,BRD-K26514105-001-01-7,0.30906337814232554,-0.010471646012262498
compound,A549_long,BRD-K26521938-001-07-2,0.4510695187165775,0.1315344945619895
